Category: All categories

Region,Cigarette: (2016)
West Virginia,100
Pennsylvania,98
Kentucky,98
Kansas,93
Missouri,92
Indiana,90
Oklahoma,90
Minnesota,86
New York,86
Michigan,85
Arkansas,83
Louisiana,82
Maine,82
Nevada,82
Illinois,82
Ohio,81
Alabama,81
Rhode Island,80
North Dakota,80
Massachusetts,80
Tennessee,80
New Jersey,79
North Carolina,79
Delaware,79
South Carolina,79
Vermont,78
Georgia,78
Arizona,77
New Hampshire,77
Montana,77
New Mexico,76
Wyoming,76
District of Columbia,76
Connecticut,76
Florida,76
Oregon,75
California,75
Wisconsin,74
Virginia,74
Washington,73
Alaska,73
Mississippi,71
Iowa,71
South Dakota,70
Colorado,69
Texas,69
Maryland,68
Nebraska,67
Idaho,67
Utah,66
Hawaii,65
