Category: All categories

Region,Alcohol: (2015)
Hawaii,100
New Hampshire,99
Louisiana,99
New Mexico,97
Indiana,97
District of Columbia,97
Connecticut,96
Michigan,96
Kentucky,95
Massachusetts,95
West Virginia,95
Iowa,94
Wisconsin,94
Nebraska,93
Oklahoma,92
Colorado,92
Maine,92
North Dakota,92
Alaska,92
Washington,92
Missouri,92
Pennsylvania,91
Montana,90
Minnesota,90
Maryland,90
Rhode Island,89
South Carolina,89
Ohio,88
Wyoming,87
Illinois,87
California,86
Nevada,86
Tennessee,86
Texas,86
North Carolina,86
Idaho,86
Vermont,84
Arkansas,84
Georgia,83
Florida,83
Delaware,82
South Dakota,82
Arizona,82
New York,81
New Jersey,80
Kansas,80
Alabama,79
Mississippi,77
Utah,72
Oregon,71
Virginia,57
