Category: All categories

Region,Fast food: (2018)
Arizona,100
Nebraska,89
Texas,86
Oklahoma,86
Nevada,84
Colorado,81
Utah,79
Alabama,79
New Mexico,78
Missouri,76
South Dakota,75
Tennessee,73
Georgia,73
Kansas,73
Arkansas,72
South Carolina,72
Wyoming,71
California,71
Kentucky,70
North Dakota,70
Louisiana,68
Mississippi,68
Minnesota,67
Idaho,67
North Carolina,65
Indiana,63
Ohio,62
Florida,62
Oregon,61
Illinois,60
Iowa,59
Michigan,59
Washington,58
Montana,58
Wisconsin,58
Virginia,58
Maryland,51
Delaware,47
West Virginia,44
Pennsylvania,42
Hawaii,38
New York,38
Connecticut,38
Alaska,38
District of Columbia,37
Rhode Island,36
New Jersey,36
Massachusetts,33
New Hampshire,30
Maine,30
Vermont,28
