Category: All categories

Region,Diet: (2009)
Arkansas,100
Tennessee,99
Utah,98
Alabama,94
Mississippi,93
West Virginia,92
Louisiana,90
Arizona,90
Georgia,89
Kentucky,88
Oklahoma,88
South Carolina,88
Florida,87
Nevada,85
Montana,84
Texas,84
Missouri,83
North Carolina,82
Delaware,82
Kansas,81
South Dakota,81
Colorado,81
Indiana,79
Pennsylvania,79
Minnesota,79
North Dakota,79
Ohio,79
Washington,78
Wyoming,77
Wisconsin,77
Illinois,77
Nebraska,77
Idaho,76
New Mexico,76
New York,75
New Jersey,74
Michigan,73
Oregon,73
Maryland,72
District of Columbia,70
Rhode Island,70
Alaska,70
Iowa,69
Virginia,69
Maine,68
California,68
Vermont,67
Massachusetts,66
Connecticut,66
New Hampshire,64
Hawaii,63
