Category: All categories

Region,Statin: (2011)
Tennessee,100
Montana,98
Maine,96
New Mexico,96
Hawaii,96
Connecticut,95
New Hampshire,95
South Carolina,95
Pennsylvania,91
Delaware,89
South Dakota,87
Oregon,85
Oklahoma,83
Mississippi,82
West Virginia,82
Rhode Island,82
Massachusetts,82
Nebraska,81
Alabama,80
Wisconsin,80
Missouri,80
Kentucky,80
North Dakota,78
Colorado,78
Maryland,77
Vermont,76
Minnesota,75
Iowa,75
Washington,75
New Jersey,75
Kansas,74
Virginia,73
Arizona,72
North Carolina,72
Michigan,71
Ohio,70
Nevada,69
Indiana,69
Florida,68
Louisiana,67
Arkansas,66
Wyoming,66
Illinois,63
Idaho,62
Georgia,61
District of Columbia,60
Utah,58
New York,57
Texas,54
California,53
Alaska,41
