Category: All categories

Region,Diet: (2004)
Mississippi,100
West Virginia,99
Arkansas,94
Alabama,90
Oklahoma,87
North Dakota,86
North Carolina,86
Louisiana,86
Kentucky,85
South Carolina,85
Michigan,84
Montana,83
Wyoming,82
Tennessee,82
Maine,82
Iowa,81
South Dakota,81
Nebraska,80
Alaska,79
Idaho,79
Florida,79
Georgia,78
Kansas,77
New Mexico,77
Ohio,76
Texas,76
Delaware,76
Rhode Island,76
Pennsylvania,75
Virginia,75
Indiana,75
Vermont,75
New York,72
Missouri,72
New Hampshire,72
Hawaii,70
Utah,70
Nevada,68
Illinois,68
Wisconsin,68
Washington,68
Connecticut,67
Oregon,67
Minnesota,66
Maryland,65
Colorado,65
Massachusetts,64
Arizona,63
California,63
New Jersey,62
District of Columbia,60
