Category: All categories

Region,Fast food: (2012)
District of Columbia,100
Mississippi,86
Texas,83
Illinois,79
Georgia,77
Arizona,75
Colorado,73
California,71
Michigan,71
Minnesota,71
Missouri,67
Ohio,63
North Carolina,63
Louisiana,62
Massachusetts,60
Washington,58
Nebraska,57
Florida,56
Tennessee,51
Kansas,48
Nevada,47
Pennsylvania,47
New York,47
Wisconsin,47
South Carolina,46
New Mexico,45
Alaska,44
Maryland,44
Kentucky,43
Oklahoma,42
Alabama,42
Virginia,42
Hawaii,42
West Virginia,42
Arkansas,42
Indiana,41
Wyoming,40
North Dakota,38
South Dakota,38
New Jersey,38
Utah,36
Idaho,35
Iowa,35
Montana,35
Oregon,35
Delaware,34
Connecticut,31
Rhode Island,31
New Hampshire,28
Vermont,23
Maine,21
