Category: All categories

Region,Diet: (2017)
Mississippi,100
Oklahoma,98
Louisiana,96
West Virginia,96
Kentucky,94
Missouri,93
Arizona,93
Idaho,92
Arkansas,92
Tennessee,91
Pennsylvania,91
Maine,90
Alaska,90
New Mexico,89
Virginia,88
Kansas,87
Alabama,86
New Hampshire,86
Utah,86
Montana,86
Oregon,85
Colorado,85
Indiana,84
South Dakota,83
Nebraska,83
New Jersey,82
Ohio,82
North Carolina,81
Connecticut,81
Washington,81
Texas,81
Iowa,81
Hawaii,81
Wyoming,80
Florida,80
Maryland,80
New York,79
Rhode Island,79
Georgia,79
Michigan,78
North Dakota,78
South Carolina,78
Illinois,77
Delaware,77
Massachusetts,77
Vermont,77
Wisconsin,77
Nevada,76
Minnesota,75
California,74
District of Columbia,70
