Category: All categories

Region,Chest pain: (2012)
West Virginia,100
Kentucky,91
Arkansas,83
Alabama,81
Mississippi,79
Tennessee,79
Louisiana,79
North Dakota,78
Ohio,78
Texas,78
Pennsylvania,77
Oklahoma,77
South Carolina,75
Illinois,74
District of Columbia,74
Georgia,73
Indiana,72
Nebraska,71
Delaware,69
Alaska,69
North Carolina,69
Kansas,69
Missouri,68
Michigan,68
Florida,67
New York,67
Rhode Island,67
Virginia,66
Maryland,65
Maine,65
Idaho,64
Connecticut,64
Wisconsin,64
Arizona,64
Iowa,63
Nevada,63
Vermont,62
Wyoming,61
Minnesota,61
New Hampshire,61
Massachusetts,61
New Mexico,61
New Jersey,60
Hawaii,60
California,60
Utah,60
South Dakota,60
Oregon,58
Colorado,57
Washington,55
Montana,54
