Category: All categories

Region,Fast food: (2008)
Nevada,100
Nebraska,91
Kentucky,89
Utah,85
South Dakota,85
Mississippi,84
West Virginia,84
Oklahoma,82
Indiana,81
Idaho,80
Ohio,77
Arizona,77
Tennessee,75
Iowa,74
Alabama,74
South Carolina,72
Illinois,72
Louisiana,72
Arkansas,71
California,71
Georgia,70
Kansas,69
Delaware,69
Missouri,69
Maryland,66
Minnesota,66
North Carolina,65
Michigan,65
Montana,65
Colorado,64
North Dakota,64
New Mexico,63
Oregon,62
Hawaii,60
Florida,59
Texas,58
Wisconsin,58
District of Columbia,55
Connecticut,55
Pennsylvania,55
Washington,54
New Jersey,54
Virginia,51
Maine,50
Wyoming,48
Rhode Island,46
Vermont,46
Alaska,44
New York,44
New Hampshire,44
Massachusetts,39
