Category: All categories

Region,Ketogenic diet: (2005)
North Carolina,100
Minnesota,98
Connecticut,96
Maryland,93
Arizona,92
Washington,86
Michigan,80
New Jersey,77
Georgia,77
Texas,71
Oregon,69
Wisconsin,62
Florida,62
Illinois,62
Colorado,62
Indiana,60
California,59
Massachusetts,57
District of Columbia,56
Missouri,56
Pennsylvania,54
Virginia,53
New York,43
Ohio,43
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Vermont,
West Virginia,
Wyoming,
