Category: All categories

Region,Cholesterol: (2015)
West Virginia,100
Mississippi,97
Maryland,94
Tennessee,93
Delaware,89
New Jersey,88
Arkansas,86
Ohio,85
Pennsylvania,84
Minnesota,83
North Carolina,83
Indiana,83
Rhode Island,82
Missouri,82
New Hampshire,82
Florida,82
Alabama,81
Massachusetts,80
South Dakota,80
Hawaii,80
Arizona,79
Kentucky,79
Maine,78
Georgia,78
Illinois,78
North Dakota,78
New York,77
Wisconsin,77
Connecticut,77
Montana,76
Vermont,76
Michigan,76
Idaho,75
Nebraska,75
Texas,74
Iowa,74
Louisiana,73
Nevada,72
Washington,71
Oklahoma,70
California,70
New Mexico,70
South Carolina,69
District of Columbia,69
Wyoming,67
Colorado,66
Utah,66
Alaska,64
Kansas,61
Virginia,54
Oregon,49
