Category: All categories

Region,Cholesterol: (2005)
Delaware,100
Mississippi,87
Montana,86
Rhode Island,81
Maryland,80
Arkansas,80
Tennessee,77
West Virginia,75
North Carolina,73
New Hampshire,72
Missouri,72
Connecticut,71
Alabama,71
Florida,70
Virginia,70
New Mexico,70
Maine,70
Georgia,69
Indiana,69
Kentucky,69
Iowa,68
Massachusetts,68
Arizona,68
Nebraska,68
New Jersey,67
South Carolina,67
Kansas,67
North Dakota,66
District of Columbia,66
Illinois,65
Michigan,65
Wisconsin,65
Oklahoma,65
Minnesota,64
Ohio,64
Pennsylvania,64
Colorado,64
Idaho,61
Utah,61
Wyoming,61
Texas,60
New York,58
Louisiana,58
Washington,58
Oregon,57
California,54
Hawaii,53
Vermont,52
Alaska,51
Nevada,51
South Dakota,49
