Category: All categories

Region,Cholesterol: (2006)
Mississippi,100
Delaware,98
Nebraska,89
Iowa,87
Maine,86
New Hampshire,86
Alabama,85
New Mexico,84
Alaska,83
North Carolina,83
Connecticut,82
Tennessee,82
District of Columbia,82
Maryland,82
Rhode Island,80
Kentucky,80
Louisiana,78
Pennsylvania,77
Indiana,77
New Jersey,77
Massachusetts,77
Virginia,77
Arkansas,76
North Dakota,76
Kansas,75
Colorado,75
Hawaii,75
Ohio,75
Georgia,74
Missouri,73
Minnesota,72
West Virginia,72
Wisconsin,72
Idaho,72
Texas,71
Montana,71
Wyoming,71
Florida,70
Illinois,70
Oklahoma,69
South Carolina,69
Washington,68
California,67
New York,66
Michigan,66
Vermont,65
Oregon,65
Arizona,65
South Dakota,58
Utah,57
Nevada,57
