Category: All categories

Region,Diet: (2015)
Alabama,100
Mississippi,96
South Dakota,94
Kentucky,93
Arkansas,93
Oklahoma,92
Louisiana,91
West Virginia,91
Tennessee,88
Arizona,88
Nevada,85
New Jersey,83
Nebraska,83
Illinois,83
Ohio,82
Texas,82
New Mexico,82
Maine,82
Idaho,81
Florida,81
North Carolina,81
Indiana,80
North Dakota,80
South Carolina,80
Pennsylvania,79
New Hampshire,79
Rhode Island,79
Connecticut,78
Kansas,78
Maryland,78
Wisconsin,78
Missouri,77
Alaska,77
Montana,77
Georgia,77
Colorado,77
Utah,76
Michigan,75
Wyoming,75
Washington,75
Hawaii,74
Oregon,74
Iowa,73
Massachusetts,73
Delaware,72
New York,72
Minnesota,72
Vermont,71
California,69
District of Columbia,69
Virginia,63
