Category: All categories

Region,Cholesterol: (2013)
Delaware,100
West Virginia,96
Montana,96
New Hampshire,93
Tennessee,92
Arkansas,92
New Jersey,91
Maine,88
Pennsylvania,88
Maryland,88
Rhode Island,87
North Carolina,86
Virginia,85
Ohio,85
Nebraska,85
Georgia,84
New Mexico,84
Alabama,82
New York,82
Illinois,82
Vermont,82
Florida,82
South Dakota,82
North Dakota,82
Texas,81
Massachusetts,81
Indiana,81
Mississippi,80
Iowa,80
Arizona,80
South Carolina,80
Hawaii,80
Michigan,79
Connecticut,79
Missouri,79
Kentucky,78
California,78
Wisconsin,78
Minnesota,76
Alaska,76
Louisiana,75
Oklahoma,74
District of Columbia,74
Idaho,73
Colorado,73
Washington,72
Kansas,71
Wyoming,69
Nevada,69
Utah,65
Oregon,53
