Category: All categories

Region,Diet: (2011)
Oklahoma,100
Arkansas,96
Arizona,92
Missouri,91
Florida,91
Idaho,89
Mississippi,88
Wyoming,88
Utah,88
Alaska,88
Alabama,88
Louisiana,88
Tennessee,87
Montana,87
Kentucky,86
Oregon,84
West Virginia,83
Nevada,83
Nebraska,83
Kansas,82
South Carolina,82
Washington,82
New Mexico,81
Virginia,81
Indiana,80
South Dakota,79
Texas,78
Colorado,78
Georgia,77
North Carolina,77
New Jersey,77
Ohio,76
Iowa,76
Michigan,76
Hawaii,75
New Hampshire,74
Pennsylvania,73
Maine,72
Connecticut,71
Minnesota,70
Rhode Island,70
Wisconsin,70
Illinois,70
California,70
North Dakota,69
Maryland,69
New York,65
Delaware,65
District of Columbia,64
Massachusetts,64
Vermont,60
