Category: All categories

Region,Cigarette: (2015)
Kentucky,100
West Virginia,97
Indiana,94
Kansas,94
South Carolina,93
Michigan,90
Illinois,89
Missouri,87
Tennessee,87
Ohio,86
Maine,86
Pennsylvania,85
District of Columbia,85
Wisconsin,85
Minnesota,85
Montana,84
Vermont,84
Louisiana,83
Georgia,83
Alabama,82
New York,82
Massachusetts,82
New Hampshire,81
North Dakota,81
North Carolina,80
Oklahoma,80
Texas,79
Nevada,78
Wyoming,78
Rhode Island,77
New Jersey,77
Mississippi,77
Arkansas,76
New Mexico,76
Oregon,74
Arizona,74
Florida,73
Nebraska,73
South Dakota,73
Connecticut,73
Delaware,72
Washington,72
Iowa,72
Hawaii,72
Colorado,71
Virginia,70
Alaska,69
California,68
Maryland,68
Idaho,65
Utah,61
