Category: All categories

Region,Alcohol: (2017)
Montana,100
Maine,97
Pennsylvania,96
Nebraska,95
South Dakota,94
North Dakota,93
Colorado,92
New Mexico,91
Alaska,90
Iowa,89
West Virginia,88
Oregon,88
Massachusetts,88
Connecticut,88
District of Columbia,87
New Hampshire,87
Rhode Island,87
Minnesota,86
Washington,86
Wisconsin,86
Michigan,86
Vermont,85
Idaho,85
Nevada,84
Illinois,84
Kentucky,83
Indiana,83
Arkansas,83
New York,82
Maryland,82
Arizona,81
Delaware,81
Florida,81
Ohio,81
Utah,81
California,81
Missouri,81
Tennessee,80
Alabama,80
Louisiana,80
Georgia,79
Hawaii,78
Kansas,78
Virginia,78
North Carolina,77
South Carolina,77
Texas,77
Wyoming,76
New Jersey,75
Oklahoma,75
Mississippi,68
