Category: All categories

Region,Cocaine: (2013)
Florida,100
New York,95
Massachusetts,94
Georgia,91
Rhode Island,86
Texas,86
Mississippi,85
California,83
Illinois,82
Pennsylvania,81
Nevada,80
Vermont,79
District of Columbia,79
New Jersey,78
Colorado,76
Washington,76
Virginia,76
Maine,75
New Hampshire,74
Michigan,74
Arizona,74
North Carolina,74
New Mexico,74
Delaware,73
Connecticut,73
Louisiana,71
Maryland,71
Alaska,71
West Virginia,70
Kansas,69
Tennessee,68
Kentucky,67
Hawaii,67
South Carolina,65
Alabama,65
Ohio,63
Oklahoma,61
Minnesota,60
Nebraska,59
Indiana,58
Missouri,58
Oregon,58
Utah,56
Iowa,55
Wisconsin,55
Arkansas,54
Wyoming,52
North Dakota,51
Montana,49
Idaho,47
South Dakota,39
