Category: All categories

Region,Alcohol: (2006)
North Dakota,100
Vermont,83
Delaware,81
Alaska,81
South Dakota,77
Montana,76
Iowa,70
Rhode Island,69
New Mexico,68
Pennsylvania,67
Kentucky,67
West Virginia,66
Maine,66
Michigan,66
Indiana,65
New Hampshire,63
Washington,62
Wisconsin,62
Wyoming,62
Nebraska,61
Idaho,61
Kansas,61
Ohio,61
North Carolina,60
Arkansas,60
Massachusetts,60
Mississippi,59
Minnesota,59
Oregon,58
Connecticut,58
Louisiana,58
Oklahoma,58
South Carolina,57
Virginia,56
Illinois,56
Colorado,55
Maryland,55
New York,55
Texas,53
California,52
Alabama,52
New Jersey,52
Missouri,51
Georgia,50
Nevada,50
Florida,50
Utah,50
Hawaii,49
Tennessee,49
District of Columbia,47
Arizona,45
