Category: All categories

Region,Chest pain: (2007)
Mississippi,100
Kentucky,85
Rhode Island,82
Tennessee,82
West Virginia,81
North Carolina,79
Indiana,79
South Dakota,78
Louisiana,78
Vermont,77
Missouri,76
New Hampshire,75
Oklahoma,73
Alabama,72
Pennsylvania,72
Wisconsin,72
Ohio,72
Georgia,72
Kansas,71
Virginia,70
South Carolina,68
Arkansas,68
Maryland,67
Nebraska,66
Michigan,66
Texas,66
Wyoming,66
Minnesota,66
District of Columbia,65
Massachusetts,64
Utah,64
Arizona,64
New Mexico,64
Connecticut,62
Florida,62
Illinois,62
Colorado,62
New Jersey,61
New York,61
Maine,60
Iowa,59
Idaho,58
Washington,56
Montana,55
Alaska,53
Oregon,51
Nevada,50
Hawaii,46
California,45
Delaware,44
North Dakota,
