Category: All categories

Region,Alcohol: (2005)
North Dakota,100
South Dakota,90
Montana,77
Delaware,75
Wyoming,72
Alaska,72
New Mexico,71
Mississippi,70
Rhode Island,70
Nebraska,69
Vermont,68
West Virginia,68
Pennsylvania,68
Maine,67
Iowa,67
Indiana,66
New Hampshire,64
Oregon,64
Connecticut,64
Idaho,64
Wisconsin,62
Kentucky,62
Ohio,61
Minnesota,59
Washington,59
Massachusetts,59
Oklahoma,59
Michigan,58
Hawaii,58
Kansas,57
Illinois,57
Louisiana,57
Florida,57
Colorado,56
Arkansas,56
South Carolina,56
Missouri,56
Nevada,55
Maryland,55
Alabama,54
Tennessee,53
Texas,53
North Carolina,52
Utah,52
New York,51
Virginia,51
California,50
Arizona,49
District of Columbia,49
New Jersey,48
Georgia,45
