Category: All categories

Region,Diet: (2008)
Alabama,100
South Carolina,94
Louisiana,88
Pennsylvania,87
West Virginia,86
Tennessee,84
Kansas,84
Oklahoma,83
Arkansas,83
North Carolina,82
Florida,82
Mississippi,80
Kentucky,80
Arizona,79
Georgia,79
New Jersey,78
Indiana,77
Utah,77
South Dakota,77
Wyoming,76
Montana,76
Ohio,76
Texas,76
Missouri,75
Colorado,75
North Dakota,74
Illinois,74
Michigan,74
New York,72
Alaska,71
Nevada,70
Maryland,70
New Mexico,70
Oregon,70
Connecticut,69
Massachusetts,69
Idaho,68
Washington,68
Rhode Island,68
Nebraska,67
Maine,66
Iowa,66
Minnesota,66
Wisconsin,65
Delaware,65
District of Columbia,64
California,63
Virginia,63
New Hampshire,62
Vermont,62
Hawaii,59
