Category: All categories

Region,Ketogenic diet: (2017)
Utah,100
Alaska,96
Oklahoma,92
Idaho,91
Wyoming,86
Washington,77
Missouri,73
Arkansas,71
Arizona,70
Oregon,69
Nebraska,67
Indiana,66
Kansas,66
Montana,66
Colorado,65
Texas,65
Nevada,64
Louisiana,63
Iowa,62
New Mexico,62
Kentucky,61
North Dakota,61
Alabama,60
Hawaii,59
South Dakota,58
Tennessee,58
Wisconsin,57
Georgia,55
California,55
Mississippi,54
Minnesota,54
Illinois,53
Florida,53
North Carolina,53
West Virginia,52
Ohio,52
Virginia,51
Vermont,51
Michigan,50
South Carolina,50
New Hampshire,49
Pennsylvania,47
District of Columbia,45
Maine,44
Maryland,43
Delaware,43
Connecticut,42
New Jersey,41
Massachusetts,40
New York,38
Rhode Island,38
