Category: All categories

Region,Ketogenic diet: (2015)
Alaska,100
Washington,86
Montana,86
Hawaii,84
Oklahoma,83
Idaho,82
New Mexico,81
Utah,80
North Dakota,78
Nevada,77
Wyoming,76
Virginia,74
Arizona,73
Oregon,73
Missouri,73
South Dakota,73
Kansas,72
Louisiana,71
Arkansas,71
Colorado,71
Indiana,70
Alabama,70
Maine,70
Vermont,69
California,69
Nebraska,68
Wisconsin,68
Minnesota,67
Rhode Island,66
Florida,66
New Hampshire,65
Texas,65
Maryland,64
Tennessee,63
Kentucky,62
Mississippi,61
South Carolina,61
Delaware,58
Iowa,58
North Carolina,57
Connecticut,57
Massachusetts,57
District of Columbia,56
Illinois,55
New Jersey,54
Ohio,54
Pennsylvania,54
West Virginia,53
Michigan,53
New York,49
Georgia,48
