Category: All categories

Region,Statin: (2008)
Delaware,100
Oregon,83
West Virginia,80
Wyoming,78
Alaska,76
Massachusetts,71
Indiana,70
Nebraska,70
Maryland,70
Rhode Island,69
New Mexico,69
Alabama,68
North Carolina,67
Connecticut,67
Tennessee,66
Maine,66
Wisconsin,65
New Jersey,64
Michigan,63
Pennsylvania,63
Minnesota,62
Missouri,62
Mississippi,62
Washington,61
District of Columbia,61
Kentucky,60
Texas,58
Colorado,58
Illinois,58
Ohio,58
Florida,58
Iowa,57
Arizona,56
Kansas,56
South Carolina,56
Louisiana,55
Vermont,55
Arkansas,55
Nevada,55
New York,55
Utah,55
South Dakota,55
Oklahoma,52
Georgia,48
California,46
Hawaii,44
Virginia,44
Montana,41
Idaho,40
New Hampshire,32
North Dakota,
