Category: All categories

Region,Cigarette: (2009)
Rhode Island,100
Arkansas,93
West Virginia,92
North Dakota,91
South Dakota,91
Florida,86
Ohio,85
Hawaii,85
Pennsylvania,84
Kentucky,84
Maine,83
New Hampshire,82
Delaware,82
Wisconsin,81
Louisiana,81
Vermont,81
Michigan,81
Illinois,81
Kansas,80
North Carolina,79
Wyoming,79
Mississippi,79
Indiana,78
Nevada,77
New Jersey,75
Missouri,75
Connecticut,75
New York,74
Montana,74
Alabama,73
Tennessee,73
Iowa,73
Arizona,73
Nebraska,72
South Carolina,71
Massachusetts,71
New Mexico,70
Oklahoma,70
Texas,69
Alaska,68
Maryland,66
Georgia,65
Idaho,65
Colorado,64
Minnesota,63
Oregon,63
Washington,59
District of Columbia,58
California,57
Virginia,54
Utah,54
