Category: All categories

Region,Ketogenic diet: (2013)
Oregon,100
Montana,80
Idaho,79
Vermont,77
Alaska,73
South Dakota,71
Washington,69
Hawaii,67
California,65
Wyoming,65
Nevada,64
Oklahoma,63
Nebraska,62
Arizona,60
Kentucky,60
Missouri,60
Rhode Island,59
Alabama,59
Utah,58
Maryland,57
Virginia,57
Indiana,57
Massachusetts,57
District of Columbia,57
Connecticut,56
Delaware,56
Kansas,56
Louisiana,56
Tennessee,55
New Hampshire,55
North Carolina,55
New Jersey,54
Pennsylvania,54
Maine,54
Michigan,53
Colorado,53
Illinois,53
Texas,52
Florida,52
Wisconsin,51
Minnesota,51
Arkansas,51
North Dakota,51
Ohio,51
South Carolina,50
New Mexico,50
New York,47
Georgia,47
Iowa,46
Mississippi,46
West Virginia,42
