Category: All categories

Region,Diet: (2014)
West Virginia,100
Arkansas,94
Maine,90
Mississippi,89
Iowa,87
Tennessee,86
Alabama,84
Florida,83
Louisiana,83
New Hampshire,83
Rhode Island,82
Arizona,82
Idaho,81
Oklahoma,81
Alaska,80
New Mexico,80
Kentucky,79
North Carolina,78
South Carolina,77
Montana,77
Nevada,77
Ohio,76
South Dakota,76
Delaware,76
Georgia,75
Indiana,75
Missouri,75
Wyoming,75
Texas,75
North Dakota,75
Michigan,74
Nebraska,74
Utah,74
Washington,73
Maryland,73
Kansas,73
Connecticut,72
Pennsylvania,72
New Jersey,71
Wisconsin,70
Colorado,70
Vermont,70
Illinois,69
Minnesota,69
Hawaii,69
California,67
New York,66
Massachusetts,63
Virginia,62
Oregon,61
District of Columbia,58
