Category: All categories

Region,Statin: (2015)
Vermont,100
Maine,98
Montana,87
New Hampshire,82
Massachusetts,80
South Dakota,79
Alabama,79
Arkansas,79
Rhode Island,76
Wisconsin,76
Minnesota,75
Connecticut,75
Delaware,73
Tennessee,73
Maryland,72
New Mexico,72
Pennsylvania,71
Washington,69
Arizona,69
North Dakota,68
Mississippi,68
Indiana,68
Missouri,67
Colorado,67
Ohio,65
Oregon,65
Kentucky,64
Hawaii,64
Oklahoma,64
West Virginia,63
Louisiana,63
Iowa,61
New Jersey,61
Michigan,61
North Carolina,61
South Carolina,61
Wyoming,60
Alaska,59
Idaho,59
Florida,59
Nebraska,58
District of Columbia,57
Utah,56
New York,54
Illinois,54
California,54
Kansas,50
Nevada,49
Georgia,49
Texas,47
Virginia,39
