Category: All categories

Region,Cholesterol: (2018)
Kentucky,100
Louisiana,98
New Jersey,96
Virginia,96
Connecticut,95
West Virginia,93
Florida,92
Alabama,92
North Carolina,92
New York,92
Mississippi,89
Pennsylvania,89
Texas,88
Tennessee,87
Georgia,87
Delaware,86
Arizona,85
Ohio,85
California,83
Maryland,82
South Carolina,81
Illinois,81
Massachusetts,81
Rhode Island,81
Oregon,81
Michigan,80
Indiana,80
Arkansas,80
Maine,79
New Hampshire,79
South Dakota,78
Missouri,78
Kansas,77
Hawaii,76
Washington,76
Minnesota,74
North Dakota,74
Idaho,74
Colorado,73
Nevada,72
Wisconsin,72
Nebraska,71
Montana,71
New Mexico,71
Oklahoma,71
District of Columbia,69
Vermont,69
Wyoming,67
Alaska,67
Iowa,67
Utah,58
