Category: All categories

Region,Ketogenic diet: (2010)
Nebraska,100
Nevada,70
California,69
Connecticut,64
Arizona,64
Oklahoma,63
Mississippi,62
South Dakota,56
Vermont,56
Indiana,55
Alabama,55
Hawaii,55
Florida,55
Maryland,54
New Hampshire,53
Minnesota,52
Rhode Island,52
Pennsylvania,52
Michigan,52
Wisconsin,50
Oregon,50
Massachusetts,50
Washington,50
Missouri,50
Arkansas,50
Georgia,48
Kentucky,48
Ohio,47
Idaho,47
Colorado,46
South Carolina,46
Texas,46
New Mexico,46
New York,45
District of Columbia,45
Maine,45
Virginia,44
New Jersey,43
Kansas,41
Louisiana,39
Utah,39
Tennessee,37
North Carolina,36
Illinois,34
Iowa,28
Alaska,
Delaware,
Montana,
North Dakota,
West Virginia,
Wyoming,
