Category: All categories

Region,Cholesterol: (2010)
West Virginia,100
New Mexico,88
Indiana,84
Tennessee,82
Delaware,81
Iowa,81
Mississippi,80
Nebraska,79
Connecticut,76
Idaho,75
Arkansas,74
Pennsylvania,74
Alabama,74
Florida,74
Montana,74
Illinois,73
Maryland,73
Maine,72
Wisconsin,72
Arizona,72
Ohio,72
New Hampshire,72
Georgia,72
New Jersey,71
South Dakota,71
North Dakota,70
Louisiana,70
New York,70
Missouri,70
Oklahoma,70
Hawaii,69
Kentucky,69
Minnesota,69
Rhode Island,68
Kansas,68
Oregon,68
District of Columbia,68
Colorado,67
North Carolina,67
South Carolina,66
Michigan,66
Nevada,66
Massachusetts,65
Utah,64
Alaska,63
Texas,62
Wyoming,59
Washington,57
Vermont,44
California,43
Virginia,30
