Category: All categories

Region,Statin: (2005)
Maine,100
Iowa,96
Rhode Island,92
Indiana,80
District of Columbia,80
Oklahoma,78
South Carolina,76
Missouri,71
Washington,69
Michigan,69
Kansas,68
North Carolina,67
Pennsylvania,67
Virginia,66
New York,66
Maryland,64
Florida,64
Minnesota,63
New Jersey,61
Wisconsin,61
Alabama,59
Tennessee,59
Ohio,59
Arizona,58
Texas,58
Massachusetts,57
Kentucky,56
Georgia,55
California,55
Arkansas,53
Colorado,51
Illinois,51
Nebraska,50
Connecticut,50
Oregon,42
Louisiana,37
Nevada,35
Utah,30
Alaska,
Delaware,
Hawaii,
Idaho,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
South Dakota,
Vermont,
West Virginia,
Wyoming,
