Category: All categories

Region,Fast food: (2014)
Nevada,100
Arizona,98
Colorado,97
Nebraska,94
Missouri,94
Texas,90
Utah,87
Oklahoma,86
California,84
Georgia,84
Mississippi,82
Minnesota,81
Hawaii,80
Idaho,79
Michigan,78
New Mexico,78
Wyoming,77
Tennessee,77
North Dakota,76
Alabama,75
Louisiana,75
Ohio,74
Illinois,74
South Carolina,72
Kansas,72
Arkansas,71
Kentucky,71
Florida,70
Indiana,69
Washington,68
Iowa,68
North Carolina,67
South Dakota,67
District of Columbia,64
Wisconsin,61
Pennsylvania,56
Virginia,55
Delaware,54
Maryland,52
West Virginia,51
New York,49
Alaska,49
Rhode Island,48
New Jersey,48
Montana,47
Connecticut,46
Massachusetts,41
Maine,41
Oregon,40
New Hampshire,39
Vermont,33
