Category: All categories

Region,Alcohol: (2009)
Delaware,100
North Dakota,98
Vermont,97
Indiana,95
Alaska,92
Wyoming,91
New Hampshire,91
Pennsylvania,90
West Virginia,89
South Dakota,89
Maine,88
Idaho,88
Wisconsin,87
Connecticut,87
Washington,87
Montana,86
New Mexico,86
Maryland,85
Oregon,85
Rhode Island,85
Massachusetts,83
Iowa,82
Michigan,81
New Jersey,80
Ohio,80
Minnesota,79
Nebraska,78
New York,78
Missouri,78
Arkansas,77
North Carolina,77
Illinois,77
Mississippi,76
Kentucky,76
Arizona,75
Florida,75
Colorado,75
Georgia,73
Hawaii,73
Kansas,71
District of Columbia,70
South Carolina,70
Louisiana,67
California,65
Oklahoma,65
Alabama,63
Texas,63
Nevada,63
Utah,60
Virginia,60
Tennessee,58
