Category: All categories

Region,Cigarette: (2004)
Michigan,100
Rhode Island,92
Pennsylvania,88
Maine,83
Illinois,81
Delaware,80
West Virginia,79
Wisconsin,79
New Jersey,78
Connecticut,78
Wyoming,75
Vermont,74
Iowa,73
North Dakota,73
Hawaii,73
Oregon,73
Nebraska,72
Alaska,72
New York,72
Kentucky,70
Indiana,68
Arizona,66
Missouri,66
Ohio,66
Montana,65
Arkansas,64
Oklahoma,64
Louisiana,62
South Dakota,62
Washington,61
Maryland,60
Kansas,59
New Hampshire,59
Mississippi,58
Massachusetts,58
Nevada,58
District of Columbia,58
Minnesota,57
Alabama,57
Virginia,55
Tennessee,54
South Carolina,52
North Carolina,52
Georgia,50
Texas,50
Colorado,48
California,48
Florida,47
New Mexico,45
Utah,39
Idaho,36
