Category: All categories

Region,Ketogenic diet: (2006)
Montana,100
Oklahoma,53
Minnesota,34
New Jersey,28
Arizona,26
Utah,25
Pennsylvania,25
Texas,23
Washington,22
Florida,22
New York,20
Indiana,20
Connecticut,20
Missouri,19
Georgia,18
Massachusetts,18
Tennessee,17
North Carolina,17
California,17
Ohio,17
Illinois,17
Colorado,17
Maryland,16
Virginia,13
Michigan,13
District of Columbia,12
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Maine,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
