Category: All categories

Region,Cocaine: (2015)
Texas,100
District of Columbia,99
Rhode Island,98
Illinois,98
New York,97
Georgia,97
California,96
Michigan,96
Hawaii,95
Florida,94
South Carolina,92
Colorado,91
Vermont,88
Massachusetts,87
Mississippi,85
Washington,85
Alaska,85
North Carolina,83
Nevada,83
Arizona,83
New Jersey,81
New Mexico,79
Wisconsin,78
Tennessee,78
Delaware,78
Louisiana,78
Oklahoma,77
West Virginia,77
Connecticut,76
Kentucky,74
New Hampshire,74
Maine,73
Nebraska,72
Pennsylvania,72
Alabama,71
Ohio,70
Arkansas,67
Montana,67
Wyoming,66
Missouri,66
Indiana,65
North Dakota,64
Maryland,63
Minnesota,60
Iowa,60
Utah,57
Oregon,56
Kansas,55
Virginia,53
Idaho,53
South Dakota,51
