Category: All categories

Region,Fast food: (2006)
Indiana,100
Kentucky,87
South Dakota,82
Nevada,79
Nebraska,77
Delaware,76
Mississippi,73
North Dakota,73
Alabama,70
Michigan,70
Idaho,69
Iowa,68
South Carolina,68
Tennessee,68
Kansas,68
Ohio,67
Minnesota,67
Missouri,66
Oklahoma,66
Georgia,66
Utah,64
West Virginia,64
North Carolina,62
Colorado,62
Wisconsin,62
Arizona,61
Texas,61
Wyoming,59
California,57
Illinois,56
Louisiana,55
Oregon,55
Maryland,55
New Mexico,53
Hawaii,51
Florida,50
Virginia,50
New Jersey,50
District of Columbia,49
Montana,49
Pennsylvania,48
Washington,48
Arkansas,47
Rhode Island,46
Connecticut,44
Alaska,43
New Hampshire,39
New York,37
Massachusetts,35
Vermont,33
Maine,31
