Category: All categories

Region,Chest pain: (2017)
West Virginia,100
Indiana,89
South Carolina,87
Tennessee,86
Alabama,86
Mississippi,85
Kentucky,83
Pennsylvania,81
Georgia,77
Michigan,76
Missouri,74
Ohio,73
Arkansas,73
Alaska,73
Maryland,72
Delaware,72
Illinois,71
Louisiana,71
New Hampshire,70
Montana,70
North Carolina,70
Rhode Island,69
North Dakota,69
South Dakota,68
Nebraska,67
Oklahoma,67
Texas,66
Virginia,66
Arizona,65
Vermont,65
New Jersey,65
Florida,64
New York,64
New Mexico,64
Wisconsin,64
Wyoming,63
Maine,63
Minnesota,62
Hawaii,62
Iowa,61
Massachusetts,61
District of Columbia,60
Connecticut,60
Kansas,59
Idaho,59
Colorado,59
California,59
Nevada,57
Washington,56
Utah,56
Oregon,48
