Category: All categories

Region,Ketogenic diet: (2012)
Wyoming,100
Oklahoma,99
South Dakota,90
Washington,89
Rhode Island,87
Alaska,85
Louisiana,83
Nevada,83
New Mexico,81
Oregon,81
Maryland,81
Tennessee,77
Hawaii,75
Pennsylvania,75
Vermont,75
California,75
Florida,75
New Jersey,75
Virginia,74
Kansas,73
South Carolina,72
Delaware,72
Arizona,71
Colorado,70
Mississippi,70
West Virginia,70
Georgia,69
Idaho,69
Kentucky,69
Missouri,69
Wisconsin,69
Ohio,69
Arkansas,68
Indiana,68
Montana,68
Utah,67
Connecticut,65
Iowa,65
North Carolina,65
Michigan,64
Minnesota,64
Illinois,63
District of Columbia,63
Massachusetts,63
Texas,62
New Hampshire,61
Nebraska,61
Alabama,60
Maine,59
New York,58
North Dakota,45
