Category: All categories

Region,Exercise: (2008)
North Dakota,100
West Virginia,97
South Dakota,94
Montana,91
Minnesota,88
New Mexico,88
Pennsylvania,86
Delaware,86
Wyoming,85
Nebraska,84
Michigan,83
Ohio,83
Iowa,81
Utah,81
Kentucky,81
Missouri,80
Alabama,80
South Carolina,80
North Carolina,80
Illinois,80
Maryland,80
Hawaii,80
Mississippi,79
Colorado,79
Arkansas,79
New Hampshire,79
Tennessee,79
District of Columbia,79
Kansas,78
Georgia,77
New Jersey,77
Vermont,77
Indiana,76
Idaho,76
Oklahoma,75
Massachusetts,75
Louisiana,75
Florida,75
Texas,74
Alaska,74
New York,74
Rhode Island,74
Wisconsin,73
Washington,73
Maine,72
Arizona,70
Connecticut,68
California,68
Oregon,68
Nevada,67
Virginia,54
