Category: All categories

Region,Fast food: (2019)
Arizona,100
Oklahoma,94
Nevada,89
Nebraska,86
New Mexico,85
Colorado,83
Georgia,81
Missouri,80
Texas,80
Alabama,79
Tennessee,78
Wyoming,76
North Dakota,74
Kansas,74
South Dakota,73
Utah,73
South Carolina,73
Louisiana,71
Indiana,70
California,70
Minnesota,69
North Carolina,69
Arkansas,67
Florida,66
Kentucky,66
Ohio,65
Idaho,65
Illinois,63
Oregon,61
Iowa,61
Wisconsin,61
Mississippi,60
Michigan,59
Virginia,59
Washington,57
Montana,57
Maryland,51
Delaware,49
West Virginia,47
Pennsylvania,44
Alaska,41
Rhode Island,41
District of Columbia,40
Hawaii,40
New York,39
New Jersey,38
Massachusetts,38
Connecticut,37
New Hampshire,36
Maine,33
Vermont,30
