Category: All categories

Region,Fast food: (2009)
Kentucky,100
Kansas,90
Arizona,90
Nevada,89
Alabama,89
Indiana,87
Utah,86
South Dakota,85
Arkansas,84
Nebraska,83
Mississippi,81
Michigan,78
South Carolina,78
Idaho,76
North Carolina,75
Tennessee,75
Minnesota,74
Oklahoma,73
West Virginia,72
Ohio,72
Wisconsin,72
Georgia,71
Missouri,71
Louisiana,70
California,70
Oregon,69
Illinois,68
Texas,67
Iowa,67
Delaware,67
Wyoming,65
Colorado,64
Hawaii,63
New Mexico,62
Maryland,60
North Dakota,60
Washington,59
Pennsylvania,58
Florida,56
Montana,54
District of Columbia,54
Rhode Island,54
Connecticut,53
New Jersey,52
Maine,48
Alaska,46
New Hampshire,45
New York,45
Vermont,44
Virginia,44
Massachusetts,41
