Category: All categories

Region,Exercise: (2014)
Maryland,100
Alabama,94
South Dakota,91
Ohio,89
Utah,89
North Carolina,88
Indiana,88
Iowa,87
Mississippi,86
Massachusetts,86
Delaware,85
New Jersey,85
Tennessee,85
Pennsylvania,84
Connecticut,84
Michigan,83
North Dakota,83
Missouri,83
South Carolina,82
Vermont,82
Idaho,82
Wyoming,82
Wisconsin,82
Hawaii,81
Minnesota,81
Florida,81
Maine,81
Georgia,80
Alaska,80
Arkansas,80
Illinois,80
West Virginia,80
Montana,79
Kentucky,79
New Hampshire,78
Nebraska,78
Louisiana,78
Kansas,77
Texas,77
Rhode Island,77
Oklahoma,77
New Mexico,76
Arizona,75
Washington,74
Nevada,74
California,74
Colorado,73
District of Columbia,72
New York,71
Virginia,68
Oregon,49
