Category: All categories

Region,Statin: (2010)
New Mexico,100
West Virginia,88
Delaware,78
Connecticut,77
Minnesota,76
Tennessee,75
Nebraska,72
Indiana,71
Massachusetts,70
Wisconsin,69
Maryland,68
Idaho,68
Oregon,66
Michigan,65
Missouri,65
Maine,65
Louisiana,65
Alabama,65
Pennsylvania,65
Kentucky,64
Iowa,64
South Dakota,62
Arkansas,61
North Carolina,60
District of Columbia,60
Kansas,59
Utah,59
North Dakota,59
Washington,59
New Hampshire,58
Arizona,58
New Jersey,57
South Carolina,57
New York,57
Colorado,56
Hawaii,56
Alaska,56
Ohio,56
Florida,55
Rhode Island,54
Illinois,54
Texas,54
Oklahoma,53
Mississippi,52
Montana,50
Georgia,45
Nevada,45
California,33
Vermont,31
Virginia,30
Wyoming,
