Category: All categories

Region,Exercise: (2004)
Wyoming,100
New Mexico,84
South Carolina,83
Iowa,81
Mississippi,81
Arkansas,79
South Dakota,77
Utah,77
Alabama,73
North Dakota,73
Kansas,72
Rhode Island,71
Vermont,71
Delaware,71
Oklahoma,71
Indiana,71
Maryland,71
Louisiana,70
Montana,70
North Carolina,69
Minnesota,69
Kentucky,69
Maine,69
Hawaii,68
Nebraska,68
West Virginia,68
Michigan,68
Tennessee,67
Idaho,65
Oregon,65
Missouri,64
District of Columbia,64
Connecticut,64
Colorado,63
Wisconsin,63
Georgia,62
Virginia,62
Ohio,61
New Jersey,61
Washington,60
Pennsylvania,59
Arizona,59
Illinois,58
California,58
Massachusetts,58
Alaska,57
New York,57
Texas,57
Florida,57
Nevada,54
New Hampshire,54
