Category: All categories

Region,Cholesterol: (2017)
Connecticut,100
West Virginia,90
Wisconsin,90
Mississippi,88
Alabama,86
New York,85
New Jersey,85
Florida,84
Kentucky,82
Delaware,82
Missouri,82
South Carolina,81
Arizona,81
Ohio,81
Indiana,81
Virginia,80
North Dakota,79
Pennsylvania,79
Texas,79
Georgia,79
Maryland,78
Maine,78
Massachusetts,78
Tennessee,78
Louisiana,78
Illinois,77
North Carolina,77
Rhode Island,76
Michigan,76
Hawaii,75
California,75
South Dakota,75
Wyoming,74
Oregon,74
New Hampshire,74
Arkansas,72
Montana,69
Colorado,68
Washington,68
Oklahoma,68
Nebraska,67
Vermont,67
Alaska,66
Minnesota,66
Iowa,66
Idaho,65
Kansas,65
District of Columbia,65
New Mexico,65
Nevada,63
Utah,55
