Category: All categories

Region,Stress: (2013)
Pennsylvania,100
Delaware,99
New Jersey,98
South Dakota,98
West Virginia,97
Connecticut,97
Indiana,96
Wyoming,96
Ohio,94
Wisconsin,91
Alabama,91
Iowa,91
North Dakota,90
Montana,90
Michigan,90
Maine,89
Massachusetts,88
Rhode Island,88
Maryland,87
New Hampshire,87
North Carolina,87
Virginia,87
Kentucky,86
Oklahoma,86
Minnesota,86
South Carolina,85
Vermont,85
Illinois,82
New Mexico,82
Missouri,82
New York,82
Kansas,82
Louisiana,81
Arkansas,81
Mississippi,80
Tennessee,80
Idaho,80
Nebraska,79
California,79
Georgia,78
District of Columbia,78
Arizona,77
Alaska,76
Colorado,76
Washington,76
Texas,76
Hawaii,73
Florida,72
Utah,70
Nevada,66
Oregon,58
