Category: All categories

Region,Statin: (2014)
Maine,100
Rhode Island,91
South Dakota,85
Montana,85
New Mexico,85
New Hampshire,84
Delaware,82
Vermont,81
Massachusetts,78
Connecticut,75
Iowa,74
Wisconsin,73
Idaho,73
Maryland,73
Nebraska,73
Ohio,72
Arkansas,71
Minnesota,71
Pennsylvania,71
Tennessee,70
Alabama,68
West Virginia,67
South Carolina,65
North Carolina,65
New Jersey,65
Indiana,64
Arizona,64
Kentucky,63
Michigan,62
Hawaii,62
Colorado,62
North Dakota,61
Kansas,61
Washington,60
Utah,60
Louisiana,59
Missouri,59
Oklahoma,58
District of Columbia,58
Florida,57
Nevada,55
Mississippi,55
Illinois,55
California,55
New York,54
Georgia,52
Oregon,49
Texas,48
Alaska,45
Virginia,44
Wyoming,38
