Category: All categories

Region,Cigarette: (2013)
Oklahoma,100
Minnesota,92
Nevada,90
Hawaii,89
Missouri,86
Kentucky,85
Illinois,85
New Mexico,83
Wyoming,82
Kansas,80
Arizona,79
Indiana,77
Louisiana,76
Florida,76
Texas,76
Mississippi,76
New Jersey,76
Massachusetts,75
Washington,75
West Virginia,75
South Carolina,75
Pennsylvania,74
Tennessee,74
Utah,74
Ohio,73
Alabama,73
Michigan,73
Georgia,71
New York,71
North Carolina,71
California,70
Connecticut,70
Virginia,69
Wisconsin,68
Delaware,68
Arkansas,68
Vermont,67
Maryland,66
Nebraska,66
Montana,66
North Dakota,66
Rhode Island,65
Alaska,65
Colorado,65
Idaho,65
Maine,64
Iowa,64
New Hampshire,62
District of Columbia,58
South Dakota,57
Oregon,56
