Category: All categories

Region,Alcohol: (2007)
North Dakota,100
Delaware,86
West Virginia,85
South Dakota,85
Pennsylvania,85
Vermont,82
New Mexico,81
Montana,80
Rhode Island,78
Alaska,78
Wisconsin,77
Indiana,76
New Hampshire,76
Maine,75
Michigan,75
Iowa,75
Wyoming,75
Kentucky,72
Nebraska,72
Maryland,71
Washington,70
Idaho,70
Massachusetts,70
Minnesota,69
Ohio,67
Missouri,67
Mississippi,67
North Carolina,65
Oregon,65
Florida,64
Colorado,63
Illinois,63
Connecticut,63
Kansas,63
California,62
Oklahoma,60
New York,60
Virginia,60
South Carolina,60
Arkansas,60
Texas,59
Arizona,59
Alabama,58
New Jersey,58
Louisiana,58
Nevada,58
Hawaii,57
District of Columbia,56
Georgia,55
Utah,54
Tennessee,53
