Category: All categories

Region,Alcohol: (2018)
Alaska,100
South Dakota,99
New Mexico,97
Indiana,97
Maine,93
Minnesota,92
Nebraska,92
Colorado,92
Montana,91
Pennsylvania,91
Oregon,90
North Dakota,88
Connecticut,87
Rhode Island,87
Kansas,86
Massachusetts,86
Washington,86
New Hampshire,84
Hawaii,84
Iowa,84
Kentucky,84
West Virginia,83
Vermont,83
Illinois,83
Idaho,83
Michigan,83
Arizona,83
Arkansas,82
Ohio,82
New York,81
Wisconsin,81
Florida,81
Delaware,81
Georgia,80
Wyoming,80
North Carolina,79
Louisiana,78
Alabama,78
Oklahoma,78
Maryland,78
California,78
Missouri,77
Nevada,77
Virginia,76
Tennessee,75
New Jersey,75
Utah,74
Texas,74
District of Columbia,73
South Carolina,73
Mississippi,64
