Category: All categories

Region,Cholesterol: (2004)
Alabama,100
South Dakota,98
Kentucky,98
Nebraska,97
West Virginia,89
Tennessee,88
Connecticut,85
Oklahoma,84
Louisiana,82
New Mexico,82
Arizona,82
Iowa,81
New Hampshire,81
Hawaii,81
Delaware,80
New Jersey,79
North Carolina,78
Texas,76
Georgia,76
Vermont,75
Massachusetts,75
Maryland,75
Virginia,75
Pennsylvania,74
South Carolina,74
District of Columbia,74
Colorado,74
Missouri,72
Florida,72
Maine,72
Arkansas,72
Indiana,72
Kansas,71
Alaska,70
Minnesota,70
New York,70
Illinois,70
Wisconsin,69
Rhode Island,69
Mississippi,69
Montana,68
Ohio,66
Washington,64
Idaho,64
Utah,64
Wyoming,63
Oregon,63
Michigan,63
California,57
North Dakota,56
Nevada,55
