Category: All categories

Region,Statin: (2019)
Maine,100
New Hampshire,97
Vermont,96
West Virginia,94
Alaska,94
Rhode Island,94
Connecticut,92
South Dakota,91
Idaho,89
Minnesota,88
Florida,87
Montana,87
Hawaii,87
Oregon,86
New Mexico,86
Delaware,86
Missouri,85
Tennessee,83
Arizona,83
Pennsylvania,83
Wisconsin,83
Kansas,82
Massachusetts,82
Arkansas,82
New York,81
Washington,81
North Dakota,79
South Carolina,79
Maryland,78
Alabama,77
Mississippi,76
Indiana,75
Nebraska,74
Louisiana,74
Michigan,74
Colorado,74
Iowa,74
Wyoming,73
Nevada,73
Virginia,71
Oklahoma,70
New Jersey,70
Kentucky,69
Ohio,68
Illinois,68
Texas,68
North Carolina,67
California,67
Utah,65
District of Columbia,64
Georgia,63
