Category: All categories

Region,Cigarette: (2006)
Maine,100
Rhode Island,98
Vermont,98
North Dakota,91
South Dakota,90
Michigan,86
West Virginia,85
Indiana,83
New York,82
Pennsylvania,82
New Jersey,81
Kentucky,80
Montana,79
Kansas,78
Connecticut,77
Mississippi,77
New Hampshire,76
Iowa,75
Ohio,75
Hawaii,74
Illinois,72
Oklahoma,72
Arkansas,72
Wisconsin,71
Arizona,70
Alaska,70
Missouri,70
Louisiana,70
Wyoming,68
Nevada,68
New Mexico,68
South Carolina,68
Tennessee,67
Massachusetts,66
Maryland,66
Minnesota,65
North Carolina,65
California,62
Alabama,62
Virginia,62
Oregon,61
Nebraska,60
Colorado,60
Washington,60
Georgia,59
Florida,56
Texas,56
District of Columbia,55
Delaware,54
Idaho,48
Utah,44
