Category: All categories

Region,Fast food: (2004)
Wyoming,100
Nebraska,73
Nevada,62
West Virginia,58
Tennessee,56
Wisconsin,55
Kansas,55
Ohio,53
South Dakota,53
Minnesota,51
Indiana,51
Montana,51
Michigan,50
Arizona,50
Mississippi,49
Kentucky,48
Rhode Island,48
Missouri,48
Arkansas,47
Illinois,47
Iowa,46
Louisiana,46
Vermont,45
North Carolina,44
Alabama,44
Oklahoma,43
Oregon,43
Georgia,42
Utah,42
California,41
Colorado,41
Maine,40
Texas,39
Idaho,38
Washington,38
Florida,37
Pennsylvania,36
Maryland,36
Virginia,36
Delaware,35
New Mexico,33
Hawaii,33
Connecticut,32
South Carolina,32
New York,32
New Jersey,32
District of Columbia,29
New Hampshire,27
Massachusetts,25
Alaska,
North Dakota,
