Category: All categories

Region,Stress: (2012)
South Dakota,100
West Virginia,94
Virginia,93
North Dakota,93
New Jersey,92
Indiana,92
Pennsylvania,92
Rhode Island,90
Vermont,90
Alabama,88
Connecticut,86
North Carolina,85
Maine,85
Wyoming,85
New Mexico,85
Delaware,84
Wisconsin,83
Tennessee,83
Ohio,83
Maryland,82
Michigan,80
Mississippi,80
Idaho,79
New Hampshire,79
Massachusetts,79
Minnesota,79
Oregon,79
Iowa,78
Kentucky,77
Missouri,77
Arkansas,77
Montana,76
Arizona,75
Utah,75
Louisiana,75
Illinois,74
New York,74
Oklahoma,73
Georgia,73
Colorado,72
Florida,72
Nebraska,72
Texas,72
California,71
Washington,71
Kansas,71
Alaska,71
Hawaii,71
District of Columbia,68
South Carolina,66
Nevada,58
