Category: All categories

Region,Chest pain: (2011)
West Virginia,100
Kentucky,88
Mississippi,86
Tennessee,84
South Carolina,78
Arkansas,77
Delaware,77
Alabama,76
Illinois,75
New Mexico,74
Louisiana,73
Pennsylvania,73
Indiana,72
Texas,70
Missouri,70
Nebraska,70
District of Columbia,69
Florida,69
Rhode Island,68
Iowa,68
Oklahoma,67
Georgia,66
Kansas,66
Maine,66
Wyoming,65
North Dakota,65
Idaho,65
Alaska,65
Nevada,65
North Carolina,65
Montana,65
Ohio,64
New York,64
South Dakota,64
Maryland,64
Wisconsin,63
Arizona,63
Virginia,63
Vermont,63
Michigan,61
Hawaii,61
Minnesota,61
Connecticut,59
New Hampshire,59
California,58
Utah,58
New Jersey,57
Massachusetts,57
Washington,55
Oregon,54
Colorado,53
