Category: All categories

Region,Cocaine: (2012)
Florida,100
New York,98
Illinois,97
District of Columbia,96
Massachusetts,94
Rhode Island,92
Texas,88
Georgia,87
California,86
Mississippi,82
West Virginia,82
Colorado,81
Michigan,80
Pennsylvania,79
Washington,79
New Jersey,79
Vermont,78
Delaware,78
Louisiana,78
Hawaii,77
New Mexico,77
Nevada,76
Alaska,76
Arizona,76
Connecticut,75
New Hampshire,71
Virginia,70
North Carolina,70
Maryland,70
South Carolina,68
Ohio,67
Kentucky,66
Alabama,66
Maine,65
Tennessee,65
Missouri,62
Kansas,62
Nebraska,62
Oregon,59
Arkansas,59
Indiana,58
Wisconsin,57
Minnesota,54
Idaho,53
Montana,52
Wyoming,51
Iowa,50
North Dakota,49
Oklahoma,49
South Dakota,47
Utah,45
