Category: All categories

Region,Cigarette: (2019)
West Virginia,100
Indiana,97
Kentucky,95
Tennessee,86
Arkansas,86
Missouri,84
Illinois,83
Nevada,81
Oklahoma,81
Ohio,81
Pennsylvania,80
Michigan,79
Mississippi,78
Vermont,78
North Carolina,77
Louisiana,77
Oregon,76
Iowa,76
Virginia,76
Delaware,75
South Carolina,74
Arizona,74
Kansas,74
South Dakota,72
New Hampshire,72
Minnesota,72
Wisconsin,72
Texas,72
Maine,71
Massachusetts,71
Montana,71
North Dakota,71
Georgia,70
Rhode Island,70
Alabama,70
New Mexico,69
New York,68
Florida,67
New Jersey,67
Connecticut,66
Wyoming,65
Washington,65
Alaska,64
Idaho,64
Colorado,63
California,63
Maryland,62
Nebraska,61
Hawaii,58
Utah,55
District of Columbia,54
