Category: All categories

Region,Cholesterol: (2009)
West Virginia,100
Montana,86
Mississippi,84
Delaware,82
New Mexico,80
Tennessee,79
Maryland,78
Alabama,77
Arizona,76
Idaho,76
Indiana,75
Connecticut,75
South Carolina,75
Nebraska,75
Maine,73
Illinois,73
Oregon,73
North Dakota,73
New Hampshire,72
Minnesota,72
Kentucky,72
District of Columbia,72
Hawaii,71
Texas,71
Georgia,71
Pennsylvania,71
Florida,70
South Dakota,70
New York,69
Iowa,69
Missouri,69
Kansas,69
North Carolina,69
Louisiana,68
Wisconsin,68
Arkansas,67
Massachusetts,67
New Jersey,66
Ohio,66
Rhode Island,65
Colorado,65
Utah,64
Wyoming,64
Michigan,63
Nevada,63
Oklahoma,62
Vermont,62
Washington,59
Alaska,54
California,50
Virginia,41
